ID_VIA_ORIGINE,DESCRIZIONE_ESTESA
490097080,"VIA FILIPPO TURATI"
490097360,"VIA FILIPPO VENUTI"
490092755,"VIA FINLANDIA"
490092780,"VIA FIORENZA"
490092790,"VIA FIRENZE"
490092800,"VIA FIUME"
490092833,"VIA FONTE DELLA PUZZOLENTE"
490092835,"VIA FONTE DI S. STEFANO"
490097860,"VIA FORTUNATO GARZELLI"
490092900,"VIA FOSSE ARDEATINE"
490094945,"VIA FRANCESCA LAURA MORVILLO"
490090550,"VIA FRANCESCO BARACCA"
490091390,"VIA FRANCESCO CAREGA"
490095490,"VIA FRANCESCO CARLO PELLEGRINI"
490091745,"VIA FRANCESCO CHIUSA"
490092190,"VIA FRANCESCO CRISPI"
490092380,"VIA FRANCESCO DE SANCTIS"
490094745,"VIA FRANCESCO MIMBELLI"
490095530,"VIA FRANCESCO PERA"
490096070,"VIA FRANCESCO REDI"
490092935,"VIA FRANCIA"
490093917,"VIA FRANCO LIPIZER"
490094545,"VIA FRANCO MAZZACCHERINI"
490092960,"VIA FRASCHETTI"
490090510,"VIA FRATELLI BANDIERA"
490091680,"VIA FRATELLI CERVI"
490092270,"VIA FRATELLI DEL CONTE"
490093260,"VIA FRATELLI GIGLI"
490094755,"VIA FRIDA MISUL"
490091710,"VIA GABRIELLO CHIABRERA"
490092228,"VIA GAETANO D'ALESIO"
490094570,"VIA GAETANO MAZZONI"
490095350,"VIA GAETANO PALLONI"
490095820,"VIA GAETANO POGGIALI"
490095415,"VIA GALEAZZO PARDERA"
490092720,"VIA GALILEO FERRARIS"
490093030,"VIA GALILEO GALILEI"
490094475,"VIA GALLIANO MASINI"
490093100,"VIA GARIBALDI"
